Crop,Variety,Germination Period,Water Needs,Fertilization Needs,Sun Requirements,Common Pests,Growing Season,Companion Plants
Spinach,Bloomsdale,6-21 days,Moderate to high,Nitrogen-rich fertilizer every 2-3 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Peas, Radishes"
Spinach,Savoy,6-21 days,Moderate to high,Nitrogen-rich fertilizer every 2-3 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Peas, Radishes"
Spinach,New Zealand,6-21 days,Moderate to high,Nitrogen-rich fertilizer every 2-3 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Strawberries, Peas, Radishes"
Cucumber,Marketmore,3-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Radishes"
Cucumber,Armenian,3-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Radishes"
Cucumber,Lemon,3-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Radishes"
Radish,Cherry Belle,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Maggot, Flea Beetles","Spring, Fall","Carrots, Lettuce, Peas"
Radish,French Breakfast,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Maggot, Flea Beetles","Spring, Fall","Carrots, Lettuce, Peas"
Radish,Daikon,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Maggot, Flea Beetles","Spring, Fall","Carrots, Lettuce, Peas"
Strawberry,June-bearing,7-21 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Slugs, Aphids, Spider Mites","Spring, Summer","Spinach, Lettuce, Beans"
Strawberry,Everbearing,7-21 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Slugs, Aphids, Spider Mites","Spring, Summer","Spinach, Lettuce, Beans"
Strawberry,Alpine,7-21 days,Moderate,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Slugs, Aphids, Spider Mites","Spring, Summer","Spinach, Lettuce, Beans"
Mint,Spearmint,10-15 days,High,Light monthly feeding,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Peas, Tomatoes"
Mint,Peppermint,10-15 days,High,Light monthly feeding,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Peas, Tomatoes"
Mint,Chocolate Mint,10-15 days,High,Light monthly feeding,Partial Shade (4-6 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Peas, Tomatoes"
Oregano,Greek,7-14 days,Low to moderate,Light feeding once a month,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Peppers, Tomatoes"
Oregano,Italian,7-14 days,Low to moderate,Light feeding once a month,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Peppers, Tomatoes"
Oregano,Mexican,7-14 days,Low to moderate,Light feeding once a month,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Basil, Peppers, Tomatoes"
Parsley,Curly,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Armyworms","Spring, Summer","Tomatoes, Asparagus, Chives"
Parsley,Italian Flat Leaf,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Armyworms","Spring, Summer","Tomatoes, Asparagus, Chives"
Parsley,Hamburg Rooted,14-28 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Armyworms","Spring, Summer","Tomatoes, Asparagus, Chives"
Thyme,Common,14-28 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Thyme,Lemon,14-28 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Thyme,Creeping,14-28 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Spider Mites, Aphids","Spring, Summer","Cabbage, Tomatoes, Strawberries"
Rosemary,Tuscan Blue,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Beans, Carrots"
Rosemary,Arp,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Beans, Carrots"
Rosemary,Hill Hardy,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Cabbage, Beans, Carrots"
Sage,Common,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Carrots, Cabbage, Beans"
Sage,Purple,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Carrots, Cabbage, Beans"
Sage,Tricolor,14-21 days,Low,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer","Carrots, Cabbage, Beans"
Cilantro,Santo,7-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Leaf Hoppers","Spring, Summer","Tomatoes, Spinach, Lettuce"
Cilantro,Leisure,7-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Leaf Hoppers","Spring, Summer","Tomatoes, Spinach, Lettuce"
Cilantro,Calypso,7-10 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Leaf Hoppers","Spring, Summer","Tomatoes, Spinach, Lettuce"
Dill,Bouquet,7-14 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Caterpillars","Spring, Summer","Cabbage, Corn, Cucumbers"
Dill,Mammoth,7-14 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Caterpillars","Spring, Summer","Cabbage, Corn, Cucumbers"
Dill,Fernleaf,7-14 days,Moderate,Light monthly feeding,Full Sun (6-8 hours),"Aphids, Caterpillars","Spring, Summer","Cabbage, Corn, Cucumbers"
Beet,Detroit Dark Red,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Beet Leaf Miner, Aphids","Spring, Fall","Lettuce, Onions, Cabbage"
Beet,Chioggia,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Beet Leaf Miner, Aphids","Spring, Fall","Lettuce, Onions, Cabbage"
Beet,Golden,5-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Beet Leaf Miner, Aphids","Spring, Fall","Lettuce, Onions, Cabbage"
Turnip,Purple Top,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Peas, Cabbage, Onions"
Turnip,Golden Globe,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Peas, Cabbage, Onions"
Turnip,White Egg,3-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Root Maggots, Flea Beetles","Spring, Fall","Peas, Cabbage, Onions"
Potato,Russet,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Colorado Potato Beetle, Aphids","Spring, Summer","Beans, Corn, Cabbage"
Potato,Yukon Gold,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Colorado Potato Beetle, Aphids","Spring, Summer","Beans, Corn, Cabbage"
Potato,Red Pontiac,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Colorado Potato Beetle, Aphids","Spring, Summer","Beans, Corn, Cabbage"
Sweet Potato,Beauregard,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Sweet Potato Weevil, Aphids","Spring, Summer","Beans, Corn, Marigold"
Sweet Potato,Georgia Jet,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Sweet Potato Weevil, Aphids","Spring, Summer","Beans, Corn, Marigold"
Sweet Potato,Jewel,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Sweet Potato Weevil, Aphids","Spring, Summer","Beans, Corn, Marigold"
Garlic,Softneck,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Bulb Mite","Fall, Spring","Carrots, Tomatoes, Cabbage"
Garlic,Hardneck,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Bulb Mite","Fall, Spring","Carrots, Tomatoes, Cabbage"
Garlic,Elephant,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Bulb Mite","Fall, Spring","Carrots, Tomatoes, Cabbage"
Parsnip,Hollow Crown,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Onions, Radishes, Peas"
Parsnip,Harris Model,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Onions, Radishes, Peas"
Parsnip,All American,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Onions, Radishes, Peas"
Lavender,English,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spittlebugs","Spring, Summer","Rosemary, Thyme, Sage"
Lavender,French,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spittlebugs","Spring, Summer","Rosemary, Thyme, Sage"
Lavender,Spanish,14-21 days,Low,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spittlebugs","Spring, Summer","Rosemary, Thyme, Sage"
Chamomile,German,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Basil, Mint, Thyme"
Chamomile,Roman,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Basil, Mint, Thyme"
Chamomile,Wild,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Thrips","Spring, Summer","Basil, Mint, Thyme"
Corn,Sweet,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworms, Aphids",Summer,"Beans, Squash, Cucumbers"
Corn,Popcorn,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworms, Aphids",Summer,"Beans, Squash, Cucumbers"
Corn,Flint,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Corn Earworms, Aphids",Summer,"Beans, Squash, Cucumbers"
Peas,Snap,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Powdery Mildew","Spring, Fall","Carrots, Radishes, Cucumbers"
Peas,Snow,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Powdery Mildew","Spring, Fall","Carrots, Radishes, Cucumbers"
Peas,Shelling,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Powdery Mildew","Spring, Fall","Carrots, Radishes, Cucumbers"
Eggplant,Black Beauty,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Flea Beetles, Aphids",Summer,"Basil, Peppers, Tomatoes"
Eggplant,Italian,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Flea Beetles, Aphids",Summer,"Basil, Peppers, Tomatoes"
Eggplant,Japanese,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Flea Beetles, Aphids",Summer,"Basil, Peppers, Tomatoes"
Kale,Curly,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Cabbage Worms","Spring, Fall","Beans, Beets, Onions"
Kale,Lacinato,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Cabbage Worms","Spring, Fall","Beans, Beets, Onions"
Kale,Red Russian,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Cabbage Worms","Spring, Fall","Beans, Beets, Onions"
Broccoli,Calabrese,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Carrots"
Broccoli,Romanesco,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Carrots"
Broccoli,Purple Sprouting,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Onions, Beets, Carrots"
Cauliflower,Snowball,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Celery, Onions"
Cauliflower,Romanesco,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Celery, Onions"
Cauliflower,Purple,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Loopers","Spring, Fall","Beans, Celery, Onions"
Zucchini,Black Beauty,5-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Zucchini,Cocozelle,5-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Zucchini,Golden,5-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Bugs, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Pumpkin,Sugar Pie,7-14 days,High,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Vine Borers, Aphids","Summer, Fall","Corn, Beans, Marigold"
Pumpkin,Jack O'Lantern,7-14 days,High,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Vine Borers, Aphids","Summer, Fall","Corn, Beans, Marigold"
Pumpkin,Atlantic Giant,7-14 days,High,Monthly feeding with balanced fertilizer,Full Sun (6-8 hours),"Squash Vine Borers, Aphids","Summer, Fall","Corn, Beans, Marigold"
Watermelon,Sugar Baby,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Watermelon,Crimson Sweet,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Watermelon,Charleston Gray,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Nasturtiums"
Melon,Cantaloupe,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Radishes"
Melon,Honeydew,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Radishes"
Melon,Galia,7-14 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cucumber Beetles",Summer,"Beans, Corn, Radishes"
Cabbage,Green,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Celery, Onions"
Cabbage,Red,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Celery, Onions"
Cabbage,Savoy,5-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Celery, Onions"
Swiss Chard,Rainbow,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer, Fall","Beans, Cabbage, Onions"
Swiss Chard,Fordhook Giant,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer, Fall","Beans, Cabbage, Onions"
Swiss Chard,Bright Lights,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Leaf Miners","Spring, Summer, Fall","Beans, Cabbage, Onions"
Radish,Cherry Belle,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Root Maggots","Spring, Fall","Carrots, Lettuce, Peas"
Radish,French Breakfast,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Root Maggots","Spring, Fall","Carrots, Lettuce, Peas"
Radish,White Icicle,3-7 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Root Maggots","Spring, Fall","Carrots, Lettuce, Peas"
Bok Choy,Shanghai Green,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Flea Beetles, Aphids","Spring, Fall","Beans, Peas, Radishes"
Bok Choy,Joi Choi,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Flea Beetles, Aphids","Spring, Fall","Beans, Peas, Radishes"
Bok Choy,Mei Qing Choi,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Flea Beetles, Aphids","Spring, Fall","Beans, Peas, Radishes"
Spinach,Bloomsdale,7-14 days,High,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Carrots, Radishes"
Spinach,New Zealand,7-14 days,High,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Carrots, Radishes"
Spinach,Savoy,7-14 days,High,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Leaf Miners","Spring, Fall","Beans, Carrots, Radishes"
Lettuce,Romaine,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Lettuce,Butterhead,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Lettuce,Leaf,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Cucumbers"
Carrot,Nantes,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Onions, Lettuce"
Carrot,Danvers,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Onions, Lettuce"
Carrot,Chantenay,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Fly, Aphids","Spring, Fall","Peas, Onions, Lettuce"
Cucumber,Slicing,7-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Peas"
Cucumber,Pickling,7-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Peas"
Cucumber,Lemon,7-10 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Cucumber Beetles, Aphids",Summer,"Beans, Corn, Peas"
Squash,Yellow Crookneck,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Aphids",Summer,"Beans, Corn, Nasturtiums"
Squash,Zucchini,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Aphids",Summer,"Beans, Corn, Nasturtiums"
Squash,Patty Pan,7-10 days,High,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Squash Bugs, Aphids",Summer,"Beans, Corn, Nasturtiums"
Kohlrabi,Purple Vienna,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Onions, Beets"
Kohlrabi,White Vienna,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Onions, Beets"
Kohlrabi,Grand Duke,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Spring, Fall","Beans, Onions, Beets"
Brussels Sprouts,Long Island,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Fall, Winter","Beans, Carrots, Onions"
Brussels Sprouts,Jade Cross,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Fall, Winter","Beans, Carrots, Onions"
Brussels Sprouts,Red Bull,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Cabbage Worms, Aphids","Fall, Winter","Beans, Carrots, Onions"
Artichoke,Green Globe,10-21 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Peas, Sunflowers, Tarragon"
Artichoke,Imperial Star,10-21 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Peas, Sunflowers, Tarragon"
Artichoke,Purple Italian,10-21 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Summer","Peas, Sunflowers, Tarragon"
Okra,Clemson Spineless,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Stink Bugs",Summer,"Peppers, Tomatoes, Basil"
Okra,Burgundy,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Stink Bugs",Summer,"Peppers, Tomatoes, Basil"
Okra,Annie Oakley,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Stink Bugs",Summer,"Peppers, Tomatoes, Basil"
Celery,Tall Utah,14-21 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Fall","Leeks, Onions, Tomatoes"
Celery,Golden Self-Blanching,14-21 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Fall","Leeks, Onions, Tomatoes"
Celery,Tango,14-21 days,High,Regular feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Slugs","Spring, Fall","Leeks, Onions, Tomatoes"
Fennel,Florence,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Root Maggots","Spring, Fall","Cucumbers, Lettuce, Dill"
Fennel,Bronze,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Root Maggots","Spring, Fall","Cucumbers, Lettuce, Dill"
Fennel,Sweet,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Root Maggots","Spring, Fall","Cucumbers, Lettuce, Dill"
Rhubarb,Victoria,14-21 days,High,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Crown Borers, Aphids","Spring, Summer","Strawberries, Asparagus, Peas"
Rhubarb,Crimson Red,14-21 days,High,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Crown Borers, Aphids","Spring, Summer","Strawberries, Asparagus, Peas"
Rhubarb,Glaskin's Perpetual,14-21 days,High,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Crown Borers, Aphids","Spring, Summer","Strawberries, Asparagus, Peas"
Endive,Frisée,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Onions"
Endive,Escarole,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Onions"
Endive,Broadleaf Batavian,7-14 days,Moderate,Light feeding with balanced fertilizer,Partial Shade (4-6 hours),"Aphids, Slugs","Spring, Fall","Carrots, Radishes, Onions"
