CommentID,Username,Date,CommentText,Variety,Name
35,field_fanatic,2023-04-29,What is the best time to plant this crop?,Nantes,Carrot
36,crop_master,2023-05-07,Can I grow this indoors?,Detroit Dark Red,Beet
37,garden_guru,2024-02-17,Any tips for improving yield?,Butterhead,Lettuce
38,root_reaper,2023-08-23,Any tips for improving yield?,Moon and Stars,Watermelon
39,leaf_lord,2023-11-02,This variety has been great for me!,Fairy Tale,Eggplant
40,field_fanatic,2024-03-12,I noticed my plants have pests. Any tips?,Charleston Gray,Watermelon
41,garden_giant,2023-08-05,What soil type is best for this variety?,Chioggia,Beet
42,field_fan,2023-11-19,Has anyone had success growing this variety?,Frisee,Endive
43,earth_expert,2023-11-09,What are common issues with this crop?,Jack O'Lantern,Pumpkin
44,seed_sower,2023-12-06,What are the best conditions for growing this crop?,Purple of Sicily,Cauliflower
45,sprout_sage,2023-11-03,What companions work best with this crop?,De Cicco,Broccoli
46,harvest_hero,2023-06-05,How often should I water this plant?,Charleston Gray,Watermelon
47,eco_expert,2023-05-13,How do I know when to harvest?,Caraway,Thyme
48,soil_savant,2024-05-20,Can I grow this indoors?,Slow Bolting,Cilantro
49,garden_guru,2024-01-08,Any tips for preventing pests on this variety?,French,Thyme
50,leaf_lord,2023-06-26,How do you prepare the soil for this crop?,Zucchini Gold Rush,Zucchini
51,grow_genius,2023-05-18,What soil type is best for this variety?,Honeydew,Melon
52,garden_guru,2023-04-11,Can I plant this next to beans?,White Vienna,Kohlrabi
53,eco_expert,2023-05-24,What are common issues with this crop?,Lacinato,Kale
54,eco_expert,2023-03-29,This variety has been great for me!,Spearmint,Mint
55,earth_enthusiast,2023-06-07,This variety has been great for me!,Leisure,Cilantro
56,harvest_hustler,2023-07-06,What soil type is best for this variety?,Spearmint,Mint
57,crop_champion,2023-09-07,How do I know when to harvest?,Golden,Beet
58,harvest_hero,2023-06-18,What companions work best with this crop?,Daikon,Radish
59,eco_elite,2024-03-31,This variety has been great for me!,Nantes,Carrot
60,grow_guru,2023-04-12,What is the best time to plant this crop?,Curled,Parsley
61,crop_caretaker,2023-01-15,How do I know when to harvest?,Savoy,Spinach
62,plant_prodigy,2023-10-18,What companions work best with this crop?,Little Finger,Carrot
63,flora_fan,2024-05-08,This variety has been great for me!,Siberian,Chives
64,eco_expert,2024-01-24,Any tips for improving yield?,Boston Pickling,Cucumber
65,garden_giant,2024-02-01,How do I know when to harvest?,Spearmint,Mint
66,grow_genius,2023-08-25,This variety has been great for me!,Purple,Sage
67,green_genius,2024-01-24,How do you prepare the soil for this crop?,Ruby Red,Chard
68,harvest_queen,2024-01-18,Has anyone had success growing this variety?,Romaine,Lettuce
69,crop_champion,2023-07-28,How do you prepare the soil for this crop?,Genovese,Basil
70,plant_prodigy,2023-06-26,What are the best conditions for growing this crop?,Astro,Arugula
71,crop_champion,2023-10-08,This variety has been great for me!,English,Pea
72,leaf_lord,2023-11-29,Any tips for preventing pests on this variety?,Green Zebra,Tomato
73,farm_fanatic,2024-05-11,What is the best time to plant this crop?,Red Cardinal,Spinach
74,eco_elite,2023-04-01,How long does it take to germinate?,Chioggia,Beet
75,field_fanatic,2023-03-11,How often should I water this plant?,Slow Bolting,Cilantro
76,soil_savant,2024-04-01,Can someone recommend a good fertilizer for this crop?,Red Russian,Kale
77,seed_savant,2023-06-20,What is the best time to plant this crop?,Garden,Peas
78,seed_sower,2023-11-08,How long does it take to germinate?,Cubanelle,Bell Pepper
79,garden_guru,2023-07-21,What companions work best with this crop?,English,Pea
80,flora_fanatic,2023-07-19,How long does it take to germinate?,Red Russian,Kale
81,garden_genius,2023-06-09,What are the best conditions for growing this crop?,Habanero,Peppers
82,crop_cultivator,2024-04-12,Can I grow this indoors?,Southern Giant Curled,Mustard Greens
83,plant_prodigy,2023-05-15,What are common issues with this crop?,Calabrese,Broccoli
84,garden_geek,2024-05-28,How do you prepare the soil for this crop?,Crimson Sweet,Watermelon
85,veggie_viking,2023-08-25,Can I grow this indoors?,Savoy,Spinach
86,earth_expert,2023-01-03,Can I plant this next to beans?,Jack O'Lantern,Pumpkin
87,farm_fanatic,2023-05-09,What soil type is best for this variety?,Sugar Snap,Pea
88,plant_pro,2023-02-16,This variety has been great for me!,Mizuna,Mustard
89,flora_fan,2023-04-03,Has anyone had success growing this variety?,Moon and Stars,Watermelon
90,flora_fan,2023-04-19,How long does it take to germinate?,Red Burgundy,Onion
91,eco_expert,2024-01-13,Any tips for improving yield?,Marketmore,Cucumber
92,flora_freak,2023-12-18,Can I plant this next to beans?,Lemon,Cucumber
93,farm_fanatic,2023-12-05,What are the best conditions for growing this crop?,Santo,Cilantro
94,garden_guru,2023-05-29,Is this variety resistant to pests?,Snow,Pea
95,crop_connoisseur,2023-12-03,Does this variety need a lot of water?,Purple Top,Turnip
96,root_reaper,2023-04-20,How long does it take to germinate?,Tokyo Cross,Turnip
97,garden_genius,2023-07-29,How often should I water this plant?,White Icicle,Radish
98,root_reaper,2024-05-21,What companions work best with this crop?,Slow Bolt,Arugula
99,flora_fan,2023-04-25,What soil type is best for this variety?,Fairy Tale,Eggplant
100,flora_freak,2024-03-27,This variety has been great for me!,Curled,Parsley
